,Unnamed: 0,tweet_id,sarcastic
0,0,508012297558577154,1
1,1,507828766161121280,0
2,2,2951021322,1
3,3,2387227409649664,1
5,5,227706842116136961,0
6,6,876452988579184641,0
7,7,1161688186789089280,0
8,8,314299498824343552,0
9,9,1945869383,0
10,10,507988195540090880,0
11,11,598549963262398464,1
12,12,604586977430626304,1
13,13,413271724428640256,0
14,14,132155015430279168,1
15,15,414638665156272129,1
17,17,462158636740280320,1
18,18,414726975324835840,1
19,19,694908801397473281,0
20,20,411059515291734016,1
22,22,321292771795288064,0
23,23,321250631706898434,0
24,24,227741137295798273,0
25,25,435340548061540352,1
26,26,38510815527190528,0
27,27,1047816085645533184,1
28,28,1013392911881457664,1
29,29,787988743781228544,1
30,30,949891247937695745,1
31,31,881565111067918336,0
32,32,787690772313300992,0
33,33,1068146290414895106,0
34,34,843807667864797185,1
35,35,89896893827657728,1
36,36,1123537916490207233,1
37,37,2669090959,0
38,38,600553403303858176,0
39,39,4413363095,0
40,40,1068234760177270784,0
41,41,975072708529553408,0
42,42,968472207994359808,1
43,43,24567157446676481,1
45,45,407477338868154368,1
46,46,1251200862644559876,1
47,47,12879370325,0
48,48,881310485575999489,1
50,50,789142621562155008,1
51,51,811593926951911424,1
52,52,1161658859183857664,1
53,53,684809158231601153,0
54,54,38960319850233857,0
55,55,415519121258729472,1
56,56,294865142154420224,0
57,57,1219687450915659776,1
58,58,1151207205057646592,1
59,59,320597361745334272,0
60,60,693212401622196224,1
61,61,414823190553432064,0
62,62,507971463442219008,0
63,63,1158328491835703301,1
64,64,600527989290323968,0
65,65,41105424509964288,0
66,66,727397267053776898,1
67,67,1255272671207731200,0
68,68,3447064492,0
69,69,881578730530983937,1
70,70,121926172127932420,1
71,71,898184592678461441,1
73,73,414825020901163009,0
74,74,712025966319681536,1
75,75,506439445789548545,0
76,76,600962954742276098,0
77,77,601456411134951424,1
78,78,596311727928512512,1
79,79,40786719225675776,0
81,81,414850101824466944,0
82,82,315432342657327105,1
83,83,974895450737094656,0
84,84,881584890898128896,0
86,86,414842628451368961,0
87,87,973994987842088960,1
88,88,1255206046261370880,0
89,89,508013204920745984,0
90,90,414785404630749184,0
91,91,785186240534577153,1
92,92,975040740853207040,0
94,94,12904180767,1
95,95,601087181084430336,1
96,96,227445529859215360,0
97,97,975054379232497665,0
98,98,1162857282029457408,1
99,99,15244399365,0
100,100,1068120061582274561,0
101,101,974553297045438470,0
104,104,134540041509797888,0
105,105,134063426715648001,1
107,107,472460494670819329,1
108,108,494906635706310656,0
109,109,1255240371174588418,0
110,110,881541437631979522,0
111,111,24771318704513024,1
112,112,788032787181809665,0
113,113,739485958920228864,1
114,114,1160981438377996289,1
115,115,575540844637351936,1
116,116,507142374858817540,1
117,117,15184438022,0
118,118,1067668720372338688,0
119,119,414754607525416962,0
120,120,507899642265092097,0
121,121,741577819847819264,1
122,122,975091608231260160,0
123,123,367540592022417408,1
124,124,226530487240368129,1
125,125,12104032863,1
126,126,787999078810546177,0
129,129,687676305236574208,0
130,130,881566773488762880,0
131,131,1161624923279777792,0
132,132,787757571520270337,0
133,133,881457617700134912,0
134,134,598925492851494912,1
135,135,694885553922113536,0
136,136,694710388588326912,0
137,137,975557881578901504,1
138,138,1049700639263977472,1
139,139,414749572271837184,0
140,140,578942671571402752,1
142,142,500581601286160384,1
143,143,1235833938473443331,1
144,144,975015826880278528,0
145,145,975120176495636480,0
146,146,1255255765193052166,0
147,147,414717881105252353,1
148,148,601513027708399617,0
149,149,881762475682791424,1
150,150,414446277947314176,1
151,151,14675594976,0
152,152,1239669366536331264,1
153,153,973632689117933569,1
154,154,198034577548247040,1
155,155,881041248290721793,1
157,157,2530310706,0
158,158,357878602139836416,1
159,159,133813278639013889,0
160,160,974903552492498944,0
161,161,133254510754803712,0
162,162,694625363780050944,1
163,163,1241740752809390080,1
164,164,882279015763103744,1
165,165,1255217445553479682,0
167,167,4416267182,1
168,168,3642163278,1
169,169,880807637239029760,0
170,170,787986191341723648,0
171,171,263620825188548610,1
172,172,1161716486093910016,0
173,173,1102496484878999553,1
174,174,881574144005070849,0
175,175,590774005910605824,0
176,176,1255109227539910656,1
177,177,1144984459659243520,1
178,178,78817318620233728,1
179,179,1067473618299314176,0
181,181,1161717787582009344,0
182,182,881431244776636416,0
184,184,1255067590604599298,1
186,186,975028739313750017,0
187,187,414740651591225344,0
188,188,33220700030369792,0
189,189,508003506448396288,0
190,190,1159558497148649472,1
191,191,507951892639801344,0
192,192,226137096547622913,0
193,193,507924762719318016,0
194,194,815119464974798848,1
195,195,944921217105985536,1
196,196,880735706758467586,0
197,197,1113756571928915968,1
198,198,1255077063419031554,1
199,199,320984384121491457,0
200,200,134719164702130177,0
201,201,1067038993945112576,1
202,202,7305758141,1
203,203,227125120785862656,1
204,204,134319491965394944,1
205,205,12689453828,0
206,206,415230706466709504,1
207,207,974464713361895424,0
208,208,1161335226963861504,0
209,209,1068253723443568643,1
210,210,875403561689075717,0
211,211,1161343880203161606,0
212,212,1068127962124275712,0
213,213,38524097864544256,0
214,214,507962704753995776,0
215,215,1161703776518135808,0
216,216,694581782419623936,0
217,217,40231741725741057,1
218,218,1162100149218357248,1
219,219,227465667094384640,1
221,221,816613695,0
222,222,1784614175,0
223,223,786816782921179136,0
224,224,791267467968581632,1
225,225,600220832959365120,1
226,226,900272733841379328,1
227,227,8108845645,1
228,228,39951781232381952,0
229,229,41197692268986368,0
230,230,1116716015558242305,1
231,231,220771925448859648,1
232,232,507950923784941568,0
233,233,975660286139969536,1
234,234,13595171124,1
235,235,153782596684365824,1
236,236,218767042420023296,1
237,237,15679720509,1
239,239,1161646268742942723,0
240,240,26682967237591040,0
241,241,1059472011875966977,1
242,242,788055220135849985,0
243,243,788031177068249088,1
244,244,788074947830648833,0
245,245,582945127053701120,1
246,246,15497333419,1
247,247,413883572131753984,1
249,249,507967415854968832,0
250,250,21336683983,1
251,251,507994774721150976,0
252,252,1254736548907503621,1
253,253,600215634400665600,1
254,254,596713632844488704,1
255,255,502080204886401026,1
256,256,129026498417012736,1
257,257,92257825924980739,1
258,258,1178281888940728320,1
259,259,321333613591408640,0
260,260,601333539372576768,1
261,261,507825427516125184,0
262,262,694942491011866625,0
263,263,37570180905304064,0
264,264,1208262779863388160,1
265,265,943405249456373760,1
266,266,880686552933957632,0
267,267,38597942730436608,0
268,268,779352827600576512,1
269,269,809275751,0
271,271,738335457688326144,1
272,272,52684290949005313,1
273,273,1255069472005611521,1
274,274,587958282515566592,1
275,275,4464631812,1
276,276,407192941091106816,1
277,277,601474068928405504,0
280,280,452308649956745216,1
281,281,2537856532,0
282,282,787572510464311300,0
284,284,4371934541,1
285,285,788026299826704384,0
286,286,133442036471828481,0
287,287,787987150327390208,0
288,288,1030805178499383296,1
289,289,874311144529289216,1
290,290,508211625002688512,1
291,291,507905452186025984,1
292,292,693129939529416704,0
293,293,882264120380280834,1
294,294,1255260208303149057,0
295,295,975114710336106496,0
296,296,1161732239148716032,0
297,297,133738544970739712,0
298,298,14990063972,0
299,299,975047443120353280,0
300,300,24913207814520832,1
301,301,1772157291,0
302,302,203965342941323264,0
303,303,859146821788151808,1
304,304,968544188571697152,1
305,305,14078981637,0
306,306,1067057736398065664,1
307,307,881552475664388100,0
308,308,321125836008865792,0
309,309,1068142126867853312,0
310,310,1239926770524016642,1
311,311,1198530461099872256,1
312,312,972131022924951552,1
313,313,694844612381319168,0
314,314,414772229511970816,0
315,315,881116193,0
316,316,502560747088781312,1
317,317,1066279470166933504,0
318,318,1161654253988896768,0
319,319,414456889666056192,1
320,320,746275406202929152,1
321,321,507982954853707776,0
322,322,899430980,0
323,323,975077264646922241,0
324,324,694907678305423360,0
325,325,4044608065,1
326,326,225583426265288704,1
327,327,32434802145628161,0
328,328,135444465438564354,1
329,329,4398207255,0
330,330,320552958884446209,1
331,331,694456438559739909,0
332,332,1062338434273026049,1
333,333,39662895172161536,1
334,334,268288391249022976,1
335,335,601441895990988800,0
337,337,928330475159949312,1
338,338,225577394008891393,0
339,339,787884786203385856,0
340,340,227547785900204032,0
344,344,601246217373253632,1
345,345,865485413724471296,1
346,346,411479012348026881,1
347,347,1101552434701316096,1
348,348,232132312085692416,1
349,349,694086957274497024,1
350,350,1162779291660107777,1
351,351,506295804022116355,0
352,352,4104861655,0
353,353,1255281991060262914,0
354,354,34989705686814720,0
355,355,410459283524812800,1
